year,ssp1,ssp2,ssp3,ssp4,ssp5
2096,855.4700043,703.0079347,396.067521,479.0514622,1386.408942
2097,861.8955755,712.9780153,399.5056234,483.5254006,1410.666967
2098,868.3240366,722.9444335,402.9415348,487.9994027,1434.913726
2099,874.7548183,732.9068202,406.375032,492.4732234,1459.148528
2100,881.1868107,742.8643838,409.805573,496.9463256,1483.368943
2101,887.7226511,752.8692543,413.1316103,501.3933361,1507.566066
2102,894.3625508,762.9377612,416.3537106,505.8130172,1531.794401
2103,901.097618,773.0636609,419.4748788,510.2041765,1556.043715
2104,907.9193565,783.2408444,422.4980874,514.5656801,1580.303945
2105,914.819644,793.4633364,425.4262707,518.8964512,1604.565212
2106,921.7907122,803.725295,428.2623189,523.1954694,1628.817825
2107,928.8251295,814.0210118,431.0090739,527.4617696,1653.052289
2108,935.9157837,824.3449114,433.6693253,531.6944404,1677.259313
2109,943.0558679,834.6915519,436.2458069,535.8926235,1701.429818
2110,950.2388661,845.0556251,438.741194,540.055512,1725.554938
2111,957.4585405,855.4319564,441.1581014,544.1823496,1749.62603
2112,964.7089202,865.8155055,443.4990812,548.2724292,1773.634676
2113,971.9842901,876.2013665,445.7666222,552.3250918,1797.572687
2114,979.2791807,886.5847677,447.9631481,556.3397249,1821.43211
2115,986.588359,896.9610722,450.0910176,560.3157618,1845.205225
2116,993.9068193,907.3257779,452.1525237,564.2526801,1868.884554
2117,1001.229775,917.6745174,454.1498938,568.1500004,1892.462857
2118,1008.552653,928.0030576,456.0852899,572.007285,1915.933138
2119,1015.87108,938.3073001,457.960809,575.8241371,1939.288643
2120,1023.180885,948.5832802,459.7784839,579.6001991,1962.522862
2121,1030.478084,958.8271669,461.5402836,583.3351513,1985.62953
2122,1037.75888,969.0352621,463.2481144,587.0287112,2008.602624
2123,1045.019653,979.2039999,464.903821,590.6806319,2031.436365
2124,1052.256955,989.329946,466.5091876,594.2907009,2054.125213
2125,1059.467506,999.4097964,468.0659388,597.8587392,2076.663872
2126,1066.648189,1009.440376,469.5757414,601.3845996,2099.047281
2127,1073.796041,1019.41864,471.0402053,604.8681662,2121.270618
2128,1080.908254,1029.341667,472.460885,608.3093525,2143.329292
2129,1087.982164,1039.206664,473.8392813,611.7081011,2165.218945
2130,1095.015251,1049.010961,475.1768423,615.0643819,2186.935446
2131,1102.005131,1058.75201,476.4749649,618.3781913,2208.47489
2132,1108.949556,1068.427384,477.7349967,621.649551,2229.833593
2133,1115.846405,1078.034773,478.958237,624.8785073,2251.008088
2134,1122.693683,1087.571988,480.1459385,628.0651294,2271.995123
2135,1129.489515,1097.03695,481.2993086,631.2095092,2292.791656
2136,1136.232144,1106.427697,482.419511,634.3117595,2313.39485
2137,1142.919923,1115.742374,483.5076669,637.3720136,2333.802071
2138,1149.551319,1124.979236,484.5648568,640.3904241,2354.01088
2139,1156.1249,1134.136646,485.5921214,643.3671622,2374.019033
2140,1162.639338,1143.213068,486.5904633,646.3024163,2393.824473
2141,1169.093403,1152.20707,487.5608482,649.1963917,2413.425327
2142,1175.485961,1161.117316,488.5042061,652.0493095,2432.8199
2143,1181.815966,1169.942571,489.4214327,654.8614055,2452.006671
2144,1188.082463,1178.681691,490.3133906,657.6329298,2470.984289
2145,1194.284582,1187.333625,491.1809106,660.3641459,2489.751567
2146,1200.421533,1195.897412,492.0247927,663.0553299,2508.307476
2147,1206.492606,1204.372177,492.8458073,665.7067695,2526.651145
2148,1212.497166,1212.757129,493.6446961,668.3187638,2544.781848
2149,1218.43465,1221.051562,494.4221738,670.8916221,2562.699008
2150,1224.304567,1229.254845,495.1789284,673.4256636,2580.402186
2151,1230.10649,1237.366426,495.9156226,675.9212164,2597.891079
2152,1235.840058,1245.385829,496.6328947,678.3786173,2615.165514
2153,1241.504971,1253.312648,497.3313594,680.7982108,2632.225444
2154,1247.10099,1261.146548,498.011609,683.1803486,2649.070942
2155,1252.627928,1268.887258,498.6742139,685.5253893,2665.702201
2156,1258.085656,1276.534576,499.3197238,687.8336974,2682.119522
