year,ssp1,ssp2,ssp3,ssp4,ssp5
2384,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2385,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2386,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2387,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2388,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2389,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2390,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2391,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2392,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2393,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2394,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2395,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2396,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2397,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2398,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2399,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2400,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2401,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2402,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2403,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2404,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2405,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2406,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2407,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2408,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2409,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2410,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2411,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2412,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2413,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2414,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2415,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2416,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2417,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2418,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2419,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2420,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2421,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2422,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2423,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
