"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2264,88.3861611165,207.9342164111,65.5362919914,67.6905189801,435.9680839226
2265,88.3975545622,208.8660074065,66.0157139682,67.7848832752,437.1178613408
2266,88.408665753,209.7952056063,66.4980332635,67.8782745565,438.2571301212
2267,88.4195017066,210.7217886722,66.9832628104,67.9707013752,439.3859517062
2268,88.4300692652,211.6457346972,67.4714155761,68.0621722416,440.5043880072
2269,88.4403750995,212.5670222032,67.9625045611,68.1526956246,441.6125013796
2270,88.4504257136,213.4856301392,68.4565427995,68.2422799503,442.7103545981
2271,88.4602274485,214.4015378794,68.9535433588,68.3309336024,443.7980108323
2272,88.4697864867,215.314725221,69.4535193391,68.4186649206,444.875533623
2273,88.4791088563,216.2251723819,69.9564838735,68.5054822009,445.9429868592
2274,88.4882004346,217.1328599989,70.4624501277,68.5913936945,447.0004347551
2275,88.4970669521,218.0377691251,70.9714312998,68.6764076074,448.0479418283
2276,88.505713996,218.9398812276,71.4834406198,68.7605321003,449.0855728776
2277,88.5141470142,219.8391781852,71.99849135,68.8437752876,450.1133929618
2278,88.5223713186,220.7356422859,72.5165967843,68.926145237,451.1314673793
2279,88.5303920884,221.6292562245,73.0377702483,69.0076499697,452.1398616473
2280,88.5382143736,222.5200030996,73.5620250988,69.0882974592,453.1386414824
2281,88.5458430983,223.4078664116,74.0893747242,69.1680956314,454.1278727807
2282,88.5532830638,224.2928300596,74.6198325437,69.2470523641,455.1076215994
2283,88.5605389518,225.174878339,75.1534120074,69.3251754868,456.0779541378
2284,88.5676153272,226.0539959384,75.6901265961,69.4024727801,457.0389367198
2285,88.5745166411,226.930167937,76.2299898212,69.4789519756,457.9906357756
2286,88.581247234,227.803379802,76.7730152244,69.5546207559,458.9331178252
2287,88.5878113379,228.6736173853,77.3192163777,69.6294867537,459.8664494611
2288,88.5942130799,229.5408669208,77.868606883,69.7035575519,460.7906973325
2289,88.6004564839,230.4051150214,78.4212003722,69.7768406836,461.7059281289
2290,88.606545474,231.2663486762,78.9770105067,69.8493436316,462.6122085648
2291,88.6124838765,232.1245552472,79.5360509778,69.9210738283,463.5096053644
2292,88.6182754225,232.9797224665,80.0983355058,69.9920386554,464.3981852473
2293,88.6239237503,233.8318384333,80.6638778405,70.062245444,465.2780149138
2294,88.629432408,234.6808916103,81.2326917607,70.1317014742,466.149161031
2295,88.634804855,235.5268708214,81.8047910741,70.2004139754,467.0116902194
2296,88.6400444651,236.3697652477,82.3801896172,70.2683901255,467.8656690397
2297,88.645154528,237.209564425,82.9589012552,70.3356370514,468.7111639796
2298,88.6501382519,238.0462582404,83.5409398817,70.4021618289,469.5482414419
2299,88.6549987651,238.8798369288,84.1263194185,70.4679714821,470.376967732
2300,88.6597391183,239.7102910702,84.7150538158,70.5330729839,471.1974090463
2301,88.6643622863,240.5376115862,85.3071570516,70.5974732558,472.0096314607
2302,88.6688711702,241.3617897366,85.9026431321,70.6611791678,472.8137009195
2303,88.6732685989,242.1828171165,86.5015260908,70.7241975384,473.6096832248
2304,88.6775573312,243.0006856528,87.1038199893,70.7865351346,474.397644026
