,rcp26,rcp45,rcp60,rcp85
2177,0.19056187,0.10375591,0.10375591,0.19056187
2178,0.17415125,0.10375591,0.10375591,0.17415125
2179,0.13018687,0.10375591,0.10375591,0.13018687
2180,0.086078125,0.10375591,0.10375591,0.086078125
2181,0.059268125,0.10375591,0.10375591,0.059268125
2182,0.043176875,0.10375591,0.10375591,0.043176875
2183,0.032265625,0.10375591,0.10375591,0.032265625
2184,0.025655,0.10375591,0.10375591,0.025655
2185,0.07252875,0.10375591,0.10375591,0.07252875
2186,0.14625187,0.10375591,0.10375591,0.14625187
2187,0.18119062,0.10375591,0.10375591,0.18119062
2188,0.19056187,0.10375591,0.10375591,0.19056187
2189,0.17415125,0.10375591,0.10375591,0.17415125
2190,0.13018687,0.10375591,0.10375591,0.13018687
2191,0.086078125,0.10375591,0.10375591,0.086078125
2192,0.059268125,0.10375591,0.10375591,0.059268125
2193,0.043176875,0.10375591,0.10375591,0.043176875
2194,0.032265625,0.10375591,0.10375591,0.032265625
2195,0.025655,0.10375591,0.10375591,0.025655
2196,0.07252875,0.10375591,0.10375591,0.07252875
2197,0.14625187,0.10375591,0.10375591,0.14625187
2198,0.18119062,0.10375591,0.10375591,0.18119062
2199,0.19056187,0.10375591,0.10375591,0.19056187
2200,0.17415125,0.10375591,0.10375591,0.17415125
2201,0.13018687,0.10375591,0.10375591,0.13018687
2202,0.086078125,0.10375591,0.10375591,0.086078125
2203,0.059268125,0.10375591,0.10375591,0.059268125
2204,0.043176875,0.10375591,0.10375591,0.043176875
2205,0.032265625,0.10375591,0.10375591,0.032265625
2206,0.025655,0.10375591,0.10375591,0.025655
2207,0.07252875,0.10375591,0.10375591,0.07252875
2208,0.14625187,0.10375591,0.10375591,0.14625187
2209,0.18119062,0.10375591,0.10375591,0.18119062
2210,0.19056187,0.10375591,0.10375591,0.19056187
2211,0.17415125,0.10375591,0.10375591,0.17415125
2212,0.13018687,0.10375591,0.10375591,0.13018687
2213,0.086078125,0.10375591,0.10375591,0.086078125
2214,0.059268125,0.10375591,0.10375591,0.059268125
2215,0.043176875,0.10375591,0.10375591,0.043176875
2216,0.032265625,0.10375591,0.10375591,0.032265625
2217,0.025655,0.10375591,0.10375591,0.025655
2218,0.07252875,0.10375591,0.10375591,0.07252875
2219,0.14625187,0.10375591,0.10375591,0.14625187
2220,0.18119062,0.10375591,0.10375591,0.18119062
2221,0.19056187,0.10375591,0.10375591,0.19056187
2222,0.17415125,0.10375591,0.10375591,0.17415125
2223,0.13018687,0.10375591,0.10375591,0.13018687
2224,0.086078125,0.10375591,0.10375591,0.086078125
2225,0.059268125,0.10375591,0.10375591,0.059268125
2226,0.043176875,0.10375591,0.10375591,0.043176875
2227,0.032265625,0.10375591,0.10375591,0.032265625
2228,0.025655,0.10375591,0.10375591,0.025655
2229,0.07252875,0.10375591,0.10375591,0.07252875
2230,0.14625187,0.10375591,0.10375591,0.14625187
2231,0.18119062,0.10375591,0.10375591,0.18119062
2232,0.19056187,0.10375591,0.10375591,0.19056187
2233,0.17415125,0.10375591,0.10375591,0.17415125
2234,0.13018687,0.10375591,0.10375591,0.13018687
2235,0.086078125,0.10375591,0.10375591,0.086078125
2236,0.059268125,0.10375591,0.10375591,0.059268125
2237,0.043176875,0.10375591,0.10375591,0.043176875
2238,0.032265625,0.10375591,0.10375591,0.032265625
2239,0.025655,0.10375591,0.10375591,0.025655
2240,0.07252875,0.10375591,0.10375591,0.07252875
2241,0.14625187,0.10375591,0.10375591,0.14625187
2242,0.18119062,0.10375591,0.10375591,0.18119062
2243,0.19056187,0.10375591,0.10375591,0.19056187
2244,0.17415125,0.10375591,0.10375591,0.17415125
2245,0.13018687,0.10375591,0.10375591,0.13018687
2246,0.086078125,0.10375591,0.10375591,0.086078125
2247,0.059268125,0.10375591,0.10375591,0.059268125
2248,0.043176875,0.10375591,0.10375591,0.043176875
2249,0.032265625,0.10375591,0.10375591,0.070611704
2250,0.025655,0.10375591,0.10375591,0.10375591
2251,0.07252875,0.10375591,0.10375591,0.10375591
2252,0.14625187,0.10375591,0.10375591,0.10375591
2253,0.18119062,0.10375591,0.10375591,0.10375591
2254,0.19056187,0.10375591,0.10375591,0.10375591
2255,0.17415125,0.10375591,0.10375591,0.10375591
2256,0.13018687,0.10375591,0.10375591,0.10375591
2257,0.086078125,0.10375591,0.10375591,0.10375591
2258,0.059268125,0.10375591,0.10375591,0.10375591
2259,0.043176875,0.10375591,0.10375591,0.10375591
2260,0.032265625,0.10375591,0.10375591,0.10375591
2261,0.025655,0.10375591,0.10375591,0.10375591
2262,0.07252875,0.10375591,0.10375591,0.10375591
2263,0.14625187,0.10375591,0.10375591,0.10375591
2264,0.18119062,0.10375591,0.10375591,0.10375591
2265,0.19056187,0.10375591,0.10375591,0.10375591
