"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1977,-0.35349216,-0.047362294,-0.06349054,-0.080339988,-0.030355302,-0.098731801,0.15726469,0.24914418
1978,-0.36011616,-0.049241071,-0.065342322,-0.081481763,-0.030306326,-0.098782815,0.16269532,0.24940972
1979,-0.36644799,-0.051117139,-0.067079866,-0.082511454,-0.031720737,-0.10410171,0.17244561,0.2604187
1980,-0.37242204,-0.053371792,-0.068531315,-0.084090078,-0.031046168,-0.10354974,0.16152064,0.25834554
1981,-0.3788769,-0.056189303,-0.069786829,-0.086318303,-0.030822847,-0.11149794,0.16264601,0.27812234
1982,-0.38559588,-0.059123652,-0.071077784,-0.088592307,-0.031202738,-0.12376754,0.16390786,0.31094601
1983,-0.39239052,-0.062150364,-0.072368312,-0.090877292,-0.031572227,-0.12732886,0.16673687,0.32041032
1984,-0.3990701,-0.065240881,-0.07362284,-0.09313689,-0.033203373,-0.13030346,0.17652765,0.32854017
1985,-0.40544184,-0.06836246,-0.074806073,-0.095333267,-0.034633502,-0.13186373,0.18667013,0.33276224
1986,-0.411311,-0.071478077,-0.075882979,-0.097427202,-0.036317558,-0.13408495,0.19508297,0.33899219
1987,-0.41648108,-0.074546326,-0.076818767,-0.09937817,-0.037743785,-0.13505303,0.19975792,0.3417439
1988,-0.42075391,-0.077521323,-0.07757888,-0.10114442,-0.039689381,-0.1358914,0.20824167,0.34416596
1989,-0.42392984,-0.080352606,-0.078128978,-0.10268303,-0.040992964,-0.1359693,0.21494961,0.34442296
1990,-0.42583118,-0.082820023,-0.078758514,-0.10237663,-0.042178851,-0.13613325,0.22038565,0.3449484
1991,-0.4228375,-0.084234509,-0.079527022,-0.10028491,-0.042752382,-0.14648104,0.21284039,0.37428402
1992,-0.41557569,-0.084861382,-0.080259266,-0.098158872,-0.04216832,-0.14952653,0.20113023,0.37434188
1993,-0.4064392,-0.08512121,-0.081011194,-0.096050142,-0.042310859,-0.15023753,0.19455358,0.37502528
1994,-0.39781494,-0.085480535,-0.081839825,-0.094005163,-0.043366563,-0.15032989,0.18882312,0.37428334
1995,-0.39208264,-0.086456844,-0.082803244,-0.092065183,-0.04462999,-0.14955411,0.19588335,0.37128838
1996,-0.38885382,-0.088042549,-0.084421084,-0.091073847,-0.046059253,-0.14880132,0.20175116,0.36850264
